1023
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
6:00-6:30,,,,,,
6:30-7:00,,,,,,
7:00-7:30,,,,,,
7:30-8:00,,,,,,
8:00-8:30,,,,,,
8:30-9:00,,,,,,
9:00-9:30,,,,,,
9:30-10:00,,,,,,
10:00-10:30,,,,,,
10:30-11:00,,,,,,
11:00-11:30,,,,,,
11:30-12:00,,,,,,
12:00-12:30,,,,,,
12:30-13:00,,,,,,
13:00-13:30,,,,,,
13:30-14:00,,,,,,
14:00-14:30,,,,,,
14:30-15:00,,,,,,
15:00-15:30,,,,,,
15:30-16:00,,,,,,
16:00-16:30,,,,,,
16:30-17:00,,,,,,
17:00-17:30,,,,,,
17:30-18:00,,,,,,
""
1024
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
6:00-6:30,,,,,,
6:30-7:00,,,,,,
7:00-7:30,,,,,,
7:30-8:00,,,,,,
8:00-8:30,,,,,,
8:30-9:00,,,,,,
9:00-9:30,,,,,,
9:30-10:00,,,,,,
10:00-10:30,,,,,,
10:30-11:00,,,,,,
11:00-11:30,,,,,,
11:30-12:00,,111 - div C - Ranjit,,111 - div C - Ranjit,,
12:00-12:30,,111 - div C - Ranjit,,111 - div C - Ranjit,,
12:30-13:00,,111 - div C - Ranjit,,111 - div C - Ranjit,,
13:00-13:30,444 - div C - Ranjit,111 - div C - Ranjit,444 - div C - Ranjit,111 - div C - Ranjit,444 - div C - Ranjit,
13:30-14:00,444 - div C - Ranjit,111 - div C - Ranjit,444 - div C - Ranjit,111 - div C - Ranjit,444 - div C - Ranjit,
14:00-14:30,444 - div C - Ranjit,222 - div C - Mayur,444 - div C - Ranjit,222 - div C - Mayur,444 - div C - Ranjit,
14:30-15:00,444 - div C - Ranjit,222 - div C - Mayur,444 - div C - Ranjit,222 - div C - Mayur,444 - div C - Ranjit,
15:00-15:30,,222 - div C - Mayur,,222 - div C - Mayur,,
15:30-16:00,,222 - div C - Mayur,,222 - div C - Mayur,,
16:00-16:30,,222 - div C - Mayur,,222 - div C - Mayur,,
16:30-17:00,,222 - div C - Mayur,,222 - div C - Mayur,,
17:00-17:30,,,,,,
17:30-18:00,,,,,,
""
1025
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
6:00-6:30,,,,,,
6:30-7:00,,222 - div D - Prem,,222 - div D - Prem,,
7:00-7:30,,222 - div D - Prem,,222 - div D - Prem,,
7:30-8:00,,222 - div D - Prem,,222 - div D - Prem,,
8:00-8:30,333 - div D - Sairaj,222 - div D - Prem,333 - div D - Sairaj,222 - div D - Prem,333 - div D - Sairaj,
8:30-9:00,333 - div D - Sairaj,222 - div D - Prem,333 - div D - Sairaj,222 - div D - Prem,333 - div D - Sairaj,
9:00-9:30,333 - div D - Sairaj,222 - div D - Prem,333 - div D - Sairaj,222 - div D - Prem,333 - div D - Sairaj,
9:30-10:00,333 - div D - Sairaj,,333 - div D - Sairaj,,333 - div D - Sairaj,
10:00-10:30,,,,,,
10:30-11:00,,,,,,
11:00-11:30,,,,,,
11:30-12:00,,,,,,
12:00-12:30,,,,,,
12:30-13:00,,,,,,
13:00-13:30,,,,,,
13:30-14:00,,,,,,
14:00-14:30,,,,,,
14:30-15:00,,,,,,
15:00-15:30,,,,,,
15:30-16:00,,,,,,
16:00-16:30,,,,,,
16:30-17:00,,,,,,
17:00-17:30,,,,,,
17:30-18:00,,,,,,
""
1026
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
6:00-6:30,,,,,,
6:30-7:00,,,,,,
7:00-7:30,,,,,,
7:30-8:00,,,,,,
8:00-8:30,,,,,,
8:30-9:00,,,,,,
9:00-9:30,,,,,,
9:30-10:00,,,,,,
10:00-10:30,,,,,,
10:30-11:00,,,,,,
11:00-11:30,,,,,,
11:30-12:00,,,,,,
12:00-12:30,,,,,,
12:30-13:00,,,,,,
13:00-13:30,,,,,,
13:30-14:00,,,,,,
14:00-14:30,,,,,,
14:30-15:00,,,,,,
15:00-15:30,,,,,,
15:30-16:00,,,,,,
16:00-16:30,,,,,,
16:30-17:00,,,,,,
17:00-17:30,,,,,,
17:30-18:00,,,,,,
""
1027
Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
6:00-6:30,,,,,,
6:30-7:00,,,,,,
7:00-7:30,,,,,,
7:30-8:00,,,,,,
8:00-8:30,,,,,,
8:30-9:00,,,,,,
9:00-9:30,,,,,,
9:30-10:00,,,,,,
10:00-10:30,,,,,,
